"word","topic"
"young",4
"mama",4
"beef",25
"seventeen",4
"streets",39
"thought",4
"face",41
"woman",45
"alive",2
"mamas",4
"place",41
"school",4
"scared",12
"home",4
"fool",41
"boys",4
"shed",45
"tears",4
"baby",23
"sister",4
"poorer",12
"kids",4
"drama",4
"things",45
"wrong",45
"blame",12
"mama",4
"hell",45
"huggin",8
"mama",4
"runnin",37
"police",39
"mama",4
"catch",41
"crack",25
"mama",4
"black",12
"queen",4
"mama",4
"finally",4
"understand",45
"woman",45
"easy",41
"raise",4
"single",45
"mother",4
"show",45
"understand",4
"reggie",35
"green",25
"sweet",41
"franklin",41
"lady",4
"love",8
"sweet",8
"lady",4
"dear",45
"mama",4
"place",41
"sweet",8
"lady",4
"love",8
"dear",4
"mama",4
"dear",4
"mama",4
"love",8
"daddy",4
"wasnt",4
"passed",4
"didnt",4
"wouldnt",45
"feel",41
"wrong",45
"heartless",25
"lookin",37
"father",4
"thugs",39
"drugs",4
"showed",4
"young",4
"brother",4
"love",8
"started",4
"money",4
"started",4
"guilty",12
"sell",39
"rocks",25
"feels",45
"good",4
"money",6
"love",41
"hope",45
"diamond",2
"left",4
"cared",2
"comin",37
"home",41
"work",4
"late",4
"youre",45
"kitchen",4
"workin",37
"mama",4
"road",4
"youre",45
"youre",45
"raise",4
"kids",4
"show",41
"understand",45
"liquor",39
"drama",4
"mama",4
"words",41
"sick",25
"happy",8
"limit",6
"things",45
"memories",4
"sweet",25
"things",45
"lord",4
"words",41
"express",23
"feel",8
"real",39
"love",8
"gave",4
"pain",2
"night",23
"alright",45
"hold",8
"struggle",2
"everyday",4
"show",6
"understand",4
"sweet",25
"lady",4
"dear",4
"mama",4
"dear",4
"mama",4
"lady",4
